ticks;name;search_competence;remove_competence;rescue_competence;search_willingness;remove_willingness;rescue_willingness
74;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
75;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
76;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
77;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
78;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
79;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
80;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
81;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
82;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
83;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
84;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
85;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
86;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
87;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
88;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
89;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
90;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
91;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
92;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
93;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
94;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
95;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
96;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
97;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
98;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
99;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
100;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
101;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
102;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
103;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
104;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
105;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
106;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
107;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
