ticks;name;search_competence;remove_competence;rescue_competence;search_willingness;remove_willingness;rescue_willingness
63;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
64;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
65;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
66;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
67;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
68;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
69;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
70;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
71;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
72;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
73;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
74;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
75;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
76;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
77;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
78;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
79;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
80;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
81;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
82;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
83;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
84;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
85;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
86;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
87;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
88;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
89;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
90;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
91;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
